date,symbol,action,entry,current,exit,pnl_pct
2025-08-11,AMD,BUY,170.28,175.39,175.39,3.0
2025-08-11,NVDA,BUY,182.2268,180.4,180.4,-1.0
2025-08-11,PLTR,BUY,186.681,184.83,184.83,-0.99
2025-08-11,TSM,BUY,242.16,242.235,242.235,0.03
2025-08-11,DIS,BUY,112.57,112.531,112.531,-0.03
2025-08-12,TREE,BUY,56.0799,54.9,54.9,-2.1
2025-08-12,COIN,BUY,329.386,325.83,325.83,-1.08
2025-08-12,TM,BUY,193.4142,193.875,193.875,0.24
2025-08-12,AMZN,BUY,222.47,220.23,220.23,-1.01
2025-08-12,TME,BUY,24.61,24.26,24.26,-1.42
2025-08-13,AAPL,BUY,231.499,233.3001,233.3001,0.78
2025-08-13,MU,BUY,128.34,127.06,127.06,-1.0
2025-08-13,NVDA,BUY,182.555,180.73,180.73,-1.0
2025-08-13,AMD,BUY,180.4788,185.9,185.9,3.0
2025-08-13,TSM,BUY,245.655,243.2,243.2,-1.0
2025-09-17,ADBE,BUY,353.69,362.4,364.3,3.0
2025-09-17,AMZN,BUY,233.2988,231.44,230.97,-1.0
2025-09-17,MSFT,BUY,510.1378,509.11,509.11,-0.2
2025-09-17,AMD,BUY,159.85,158.85,158.25,-1.0
2025-09-17,COST,BUY,954.0,,963.0,0.84
2025-09-18,GOOG,BUY,251.965,252.19,252.19,0.09
2025-09-18,AAPL,BUY,240.0299,237.63,237.63,-1.0
2025-09-18,INTC,BUY,31.445,31.13,31.13,-1.0
2025-09-18,MU,BUY,163.2088,168.11,168.11,3.0
2025-09-18,NVDA,BUY,173.97,176.345,176.345,1.37
2025-09-19,INTC,BUY,30.0793,29.7803,29.7803,-0.99
2025-09-19,AAPL,BUY,241.2163,245.48,245.48,1.77
2025-09-19,GOOG,BUY,253.6389,255.235,255.235,0.63
2025-09-19,AMD,BUY,157.46,157.53,157.53,0.04
2025-09-19,DELL,BUY,133.03,132.81,132.81,-0.17
